Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.3.1.1.5.3,          F-DAP-UQ-003-00047,2,FOLDING STAIR HINGE BASE TAB,,EA,PHT,F,FAB010,3,P3E,EA,AP3047,Fab Tech,
1.3.1.1.6,        A-WAQ-AB-003-00211,1,STAIRS MALE HINGE ASSY; RH,A,EA,NOR,P,FAB010,3,P3E,EA,WD3211,Fab Tech,
1.3.1.1.6.1,          F-DAP-UQ-003-00045,1,FOLDING STAIR MALE HINGE,,EA,PHT,F,FAB010,3,P3E,EA,AP3045,Fab Tech,
1.3.1.1.6.2,          F-DAP-UQ-003-00046,1,FOLDING STAIR HINGE SPACER,,EA,PHT,F,FAB010,3,P3E,EA,AP3046,Fab Tech,
1.3.1.1.6.3,          F-DAP-UQ-003-00047,2,FOLDING STAIR HINGE BASE TAB,,EA,PHT,F,FAB010,3,P3E,EA,AP3047,Fab Tech,
1.3.1.1.7,        F-DAF-AB-001-00040,2,LOCK BRACKET SPACER,,EA,Nor,P,FAB010,3,P3E,EA,AF1040,Fab Tech,
1.3.1.1.8,        F-DSF-SQ-001-00005,2,STAIRS LOCK PLATE,,EA,Nor,P,FAB010,3,P3E,EA,SF1005,Fab Tech,
1.3.1.1.9,        F-DSF-SQ-003-00004,2,FOLDING STAIR FOOT PAD,,EA,Nor,P,FAB010,3,P3E,EA,SF3004,Fab Tech,
1.3.1.1.10,        P-FYB-UQ-998-06016-F,4,M6 x 16mm Button Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,MB2550016A20000,Fastenal,0.25
1.3.1.1.11,        P-FYH-UQ-998-08020-F,24,M8 x 20 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580020A20000,Fastenal,17.65
1.3.1.1.12,        P-FYH-UQ-998-08025-F,8,M8 x 25 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580025A20000,Fastenal,18.28
1.3.1.1.13,        P-FYH-UQ-998-08030-F,8,M8 x 30 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,EA,M82580030A20000,Fastenal,0.36
1.3.1.1.14,        P-FYH-UQ-998-08035-F,4,M8 x 35 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580035A20000,Fastenal,19.5
1.3.1.1.15,        P-NYN-UQ-998-08000,44,M8 x 1.25 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2580000A20000,Fastenal,0.5449
1.3.1.1.16,        P-WYL-UQ-998-06000,4,M6 Split Lock Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,ML6360000A20000,Fastenal,0.078
1.3.1.1.17,        P-WYQ-UQ-998-06000,4,M6 x 12mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6360000A20000,Fastenal,0.046
1.3.1.1.18,        P-WYQ-UQ-998-08000,88,M8 x 16mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6380000A20000,Fastenal,0.0772
1.3.1.2,      A-WSQ-SQ-001-00068,4,HAND RAIL BRACKET,B,EA,NOR,P,FAB010,3,P3E,EA,WD1068,Fab Tech,
1.3.1.2.1,        F-DSS-UQ-001-00002,1,RAMP HAND RAIL BRACKET,A,EA,PHT,F,FAB010,3,P3E,EA,SS1002,Fab Tech,
1.3.1.2.2,        F-DSS-UQ-001-00008,1,HAND RAIL BRACET LEG,B,EA,Nor,F,FAB010,3,P3E,EA,SS1008,Fab Tech,
1.3.1.3,      A-WSQ-SQ-003-00213,1,STAIRS SHORT HAND RAIL,,EA,Nor,P,FAB010,3,P3E,EA,WD3213,Fab Tech,
1.3.1.3.1,        F-DST-UQ-003-00039,1,FOLDING STAIR SHORT HAND RAIL,,EA,Pht,F,FAB010,3,P3E,EA,ST3039,Fab Tech,
1.3.1.3.2,        P-QSQ-UQ-999-00013,2,"SS Weld-On Ring: 1"" Dia.",,EA,Pht,F,FAB010,5,HWARE,EA,3769T71,McMaster-Carr,1.15
1.3.1.4,      A-WSQ-SQ-003-00214,1,STAIRS LOWER LONG HAND RAIL,,EA,Nor,P,FAB010,3,P3E,EA,WD3214,Fab Tech,
1.3.1.4.1,        F-DST-UQ-003-00038,1,FOLDING STAIR LONG HAND RAIL,,EA,Pht,F,FAB010,3,P3E,EA,ST3038,Fab Tech,
1.3.1.4.2,        P-QSQ-UQ-999-00013,2,"SS Weld-On Ring: 1"" Dia.",,EA,Pht,F,FAB010,5,HWARE,EA,3769T71,McMaster-Carr,1.15
1.3.1.5,      F-DAS-AB-001-00098,2,FOLDING STAIR UPPER BRACE,A,EA,Nor,P,FAB010,3,P3E,EA,AS1098,Fab Tech,
1.3.1.6,      F-DAS-AB-003-00018,2,STAIR LOWER SIDE BRACE,A,EA,Nor,P,FAB010,3,P3E,EA,AS3018,Fab Tech,
1.3.1.7,      F-DSF-SQ-001-00001,4,HAND RAIL TAP STRIP,,EA,Nor,P,FAB010,3,P3E,EA,SF1001,Fab Tech,
1.3.1.8,      F-SAL-AB-003-00004,6,FOLDING STAIR LADDER RUNG,,EA,Nor,P,FAB010,3,P3E,EA,LR3004,Fab Tech,
1.3.1.9,      P-FFU-ZZ-999-31250-P,12,"5/16"" U-Bolt for 1-3/8"" OD: Zinc-Plated Steel",,EA,Nor,P,MCM010,5,HWARE,EA,3043T65,McMaster-Carr,1.08
1.3.1.10,      P-FYH-UQ-998-08020-F,20,M8 x 20 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580020A20000,Fastenal,17.65
1.3.1.11,      P-FYH-UQ-998-08040-F,4,M8 x 40 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580040A20000,Fastenal,26.89
1.3.1.12,      P-NYN-UQ-998-08000,16,M8 x 1.25 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2580000A20000,Fastenal,0.5449
1.3.1.13,      P-NYN-UQ-999-31000,24,"5/16""-18 Nylock Nut: 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,PG,1170104,Fastenal,12.99
1.3.1.14,      P-PYO-UQ-999-38225,4,"3/8"" X 2-1/4"" Roll Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,171554,Fastenal,3.41
1.3.1.15,      P-PYS-UQ-999-38225,4,"3/8"" x 2-1/4"" Snapper Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,11104148,Fastenal,4.69
1.3.1.16,      P-QPQ-UB-999-00006,12,"Round Finishing Plug for 1-1/4"" Tube",,EA,Nor,P,MCM010,5,HWARE,PG,9283K15,McMaster-Carr,10.67
1.3.1.17,      P-WYL-UQ-998-08000,8,M8 Split Lock Washer; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,ML6380000A20000,Fastenal,0.1054
1.3.1.18,      P-WYQ-UQ-998-08000,40,M8 x 16mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6380000A20000,Fastenal,0.0772
1.3.2,    A-VAQ-TB-003-00762,1,NEWINGTON FOLDING STAIRS UPPER ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.3.2.1,      A-WAQ-AB-003-00077,7,FOLDING STAIRS TREAD WELDMENT,,EA,NOR,P,FAB010,3,P3E,EA,WD3077,Fab Tech,
1.3.2.1.1,        F-DAS-UQ-001-00099,2,STAIR TREAD END PLATE,,EA,PHT,F,FAB010,3,P3E,EA,AS1099,Fab Tech,
1.3.2.1.2,        F-SAG-UQ-003-00012,1,FOLDING STAIR TREAD,,EA,PHT,F,FAB010,3,P3E,EA,GS3012,Fab Tech,
1.3.2.2,      A-WAQ-AB-003-00206,1,STAIRS MALE HINGE ASSY; LH,A,EA,NOR,P,FAB010,3,P3E,EA,WD3206,Fab Tech,
1.3.2.2.1,        F-DAP-UQ-003-00045,2,FOLDING STAIR MALE HINGE,,EA,PHT,F,FAB010,3,P3E,EA,AP3045,Fab Tech,
1.3.2.2.2,        F-DAP-UQ-003-00046,1,FOLDING STAIR HINGE SPACER,,EA,PHT,F,FAB010,3,P3E,EA,AP3046,Fab Tech,
1.3.2.2.3,        F-DAP-UQ-003-00047,2,FOLDING STAIR HINGE BASE TAB,,EA,PHT,F,FAB010,3,P3E,EA,AP3047,Fab Tech,
1.3.2.3,      A-WAQ-AB-003-00207,1,STAIR FEMALE HINGE ASSY; RH,A,EA,NOR,P,FAB010,3,P3E,EA,WD3207,Fab Tech,
1.3.2.3.1,        F-DAP-UQ-003-00045,2,FOLDING STAIR MALE HINGE,,EA,PHT,F,FAB010,3,P3E,EA,AP3045,Fab Tech,
1.3.2.3.2,        F-DAP-UQ-003-00046,1,FOLDING STAIR HINGE SPACER,,EA,PHT,F,FAB010,3,P3E,EA,AP3046,Fab Tech,
1.3.2.3.3,        F-DAP-UQ-003-00047,2,FOLDING STAIR HINGE BASE TAB,,EA,PHT,F,FAB010,3,P3E,EA,AP3047,Fab Tech,
1.3.2.4,      A-WSQ-SQ-001-00068,4,HAND RAIL BRACKET,B,EA,NOR,P,FAB010,3,P3E,EA,WD1068,Fab Tech,
1.3.2.4.1,        F-DSS-UQ-001-00002,1,RAMP HAND RAIL BRACKET,A,EA,PHT,F,FAB010,3,P3E,EA,SS1002,Fab Tech,
1.3.2.4.2,        F-DSS-UQ-001-00008,1,HAND RAIL BRACET LEG,B,EA,Nor,F,FAB010,3,P3E,EA,SS1008,Fab Tech,
1.3.2.5,      A-WSQ-SQ-003-00212,1,STAIRS UPPER LONG HAND RAIL,,EA,Nor,P,FAB010,3,P3E,EA,WD3212,Fab Tech,
1.3.2.5.1,        F-DSS-UQ-003-00036,1,HAND RAIL FEMALE RECEIVER MOUNT,,EA,Pht,F,FAB010,3,P3E,EA,SS3036,Fab Tech,
1.3.2.5.2,        F-DST-UQ-003-00038,1,FOLDING STAIR LONG HAND RAIL,,EA,Pht,F,FAB010,3,P3E,EA,ST3038,Fab Tech,
1.3.2.5.3,        P-QSQ-UQ-999-00013,1,"SS Weld-On Ring: 1"" Dia.",,EA,Pht,F,FAB010,5,HWARE,EA,3769T71,McMaster-Carr,1.15
1.3.2.6,      A-WSQ-SQ-003-00213,1,STAIRS SHORT HAND RAIL,,EA,Nor,P,FAB010,3,P3E,EA,WD3213,Fab Tech,
1.3.2.6.1,        F-DST-UQ-003-00039,1,FOLDING STAIR SHORT HAND RAIL,,EA,Pht,F,FAB010,3,P3E,EA,ST3039,Fab Tech,
1.3.2.6.2,        P-QSQ-UQ-999-00013,2,"SS Weld-On Ring: 1"" Dia.",,EA,Pht,F,FAB010,5,HWARE,EA,3769T71,McMaster-Carr,1.15
1.3.2.7,      F-DAP-AB-003-00044,2,FOLDING STAIR UPPER HINGE,,EA,Nor,J,FAB010,3,P3E,EA,AP3044,Fab Tech,
1.3.2.8,      F-DAS-AB-001-00098,4,FOLDING STAIR UPPER BRACE,A,EA,Nor,P,FAB010,3,P3E,EA,AS1098,Fab Tech,
1.3.2.9,      F-DAS-AB-003-00043,1,FOLDING STAIR UPPER SIDE; LH,,EA,Nor,J,FAB010,3,P3E,EA,AS3043,Fab Tech,
1.3.2.10,      F-DAS-AB-003-00044,1,FOLDING STAIR UPPER SIDE; RH,,EA,Nor,J,FAB010,3,P3E,EA,AS3044,Fab Tech,
1.3.2.11,      F-DSF-SQ-001-00001,4,HAND RAIL TAP STRIP,,EA,Nor,P,FAB010,3,P3E,EA,SF1001,Fab Tech,
1.3.2.12,      F-DSF-SQ-001-00005,2,STAIRS LOCK PLATE,,EA,Nor,P,FAB010,3,P3E,EA,SF1005,Fab Tech,
1.3.2.13,      P-FYH-UQ-998-08020-F,40,M8 x 20 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580020A20000,Fastenal,17.65
1.3.2.14,      P-FYH-UQ-998-08025-F,16,M8 x 25 Hex Head Cap Screw: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580025A20000,Fastenal,18.28
1.3.2.15,      P-FYH-UQ-998-08040-F,8,M8 x 40 Hex Head Cap Screw; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,M82580040A20000,Fastenal,26.89
1.3.2.16,      P-NYN-UQ-998-08000,56,M8 x 1.25 Nylock Nut: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,1L2580000A20000,Fastenal,0.5449
1.3.2.17,      P-PYO-UQ-999-38225,4,"3/8"" X 2-1/4"" Roll Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,171554,Fastenal,3.41
1.3.2.18,      P-PYS-UQ-999-38225,4,"3/8"" x 2-1/4"" Snapper Pin; 18-8 SS",,EA,Nor,P,FAS010,5,HWARE,EA,11104148,Fastenal,4.69
1.3.2.19,      P-WYL-UQ-998-08000,8,M8 Split Lock Washer; 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,ML6380000A20000,Fastenal,0.1054
1.3.2.20,      P-WYQ-UQ-998-08000,128,M8 x 16mm OD Flat Washer: 18-8 SS,,EA,Nor,P,FAS010,5,HWARE,PG,MW6380000A20000,Fastenal,0.0772
1.3.3,    A-VSQ-TQ-003-00759,1,FOLDING STAIR SAFETY RAIL ASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.3.3.1,      F-DPR-UW-003-00003,1,SAFETY RAIL BUSHING,,EA,Nor,P,MID010,3,P3E,EA,,Mid-Atlantic Rubber,
1.3.3.2,      F-DST-SQ-003-00032,1,SAFETY RAIL FEMALE PIPE,,EA,Nor,P,FAB010,3,P3E,EA,ST3032,Fab Tech,
